Sum horizontally x	Sum horizontally y
2.549306e-03	8.912562e+04
6.547455e-03	6.714697e+04
1.054560e-02	5.109981e+04
1.454375e-02	4.255139e+04
1.854190e-02	3.481618e+04
2.254005e-02	3.283097e+04
2.653820e-02	4.177191e+04
3.053635e-02	2.798752e+04
3.453450e-02	2.116896e+04
3.853265e-02	1.661459e+04
4.253080e-02	1.453816e+04
4.652895e-02	1.291630e+04
5.052710e-02	1.163748e+04
5.452525e-02	1.067914e+04
5.852340e-02	9.864050e+03
6.252154e-02	9.346985e+03
6.651969e-02	8.963676e+03
7.051784e-02	8.600004e+03
7.451599e-02	8.340656e+03
7.851414e-02	8.219166e+03
8.251229e-02	8.010267e+03
8.651044e-02	8.035431e+03
9.050859e-02	7.875920e+03
9.450674e-02	8.015928e+03
9.850489e-02	7.581123e+03
1.025030e-01	7.675309e+03
1.065012e-01	8.026715e+03
1.104993e-01	8.335387e+03
1.144975e-01	9.038406e+03
1.184956e-01	2.323826e+04
1.224938e-01	3.417489e+04
1.264919e-01	3.821942e+04
1.304901e-01	2.210489e+04
1.344882e-01	2.695447e+04
1.384864e-01	2.484906e+04
1.424845e-01	2.347216e+04
1.464827e-01	2.196944e+04
1.504808e-01	2.041535e+04
1.544790e-01	1.978047e+04
1.584771e-01	2.191491e+04
1.624753e-01	1.421584e+04
1.664734e-01	1.680882e+04
1.704716e-01	1.521857e+04
1.744697e-01	1.661530e+04
1.784679e-01	1.987570e+04
1.824660e-01	1.904058e+04
1.864642e-01	1.827744e+04
1.904623e-01	1.766277e+04
1.944605e-01	1.675812e+04
1.984586e-01	1.630061e+04
2.024568e-01	1.591932e+04
2.064549e-01	1.525529e+04
2.104531e-01	1.499042e+04
2.144512e-01	1.468427e+04
2.184494e-01	1.446226e+04
2.224475e-01	1.432093e+04
2.264457e-01	1.403218e+04
2.304438e-01	1.405534e+04
2.344420e-01	1.418863e+04
2.384401e-01	1.382945e+04
2.424383e-01	1.415855e+04
2.464364e-01	1.445124e+04
2.504346e-01	1.443089e+04
2.544327e-01	1.504665e+04
2.584309e-01	1.551786e+04
2.624290e-01	1.623058e+04
2.664272e-01	1.715550e+04
2.704253e-01	1.794840e+04
2.744235e-01	1.917588e+04
2.784216e-01	2.053249e+04
2.824198e-01	2.185043e+04
2.864179e-01	2.299754e+04
2.904161e-01	2.544457e+04
2.944142e-01	2.721934e+04
2.984124e-01	2.857096e+04
3.024105e-01	2.936421e+04
3.064087e-01	2.943735e+04
3.104068e-01	2.868183e+04
3.144049e-01	2.719509e+04
3.184031e-01	2.470429e+04
3.224012e-01	2.218540e+04
3.263994e-01	1.965329e+04
3.303975e-01	1.590980e+04
3.343957e-01	1.385807e+04
3.383938e-01	1.240404e+04
3.423920e-01	1.039991e+04
3.463901e-01	9.082180e+03
3.503883e-01	8.378899e+03
3.543864e-01	7.839595e+03
3.583846e-01	7.625624e+03
3.623827e-01	7.806417e+03
3.663809e-01	8.575541e+03
3.703790e-01	9.565804e+03
3.743772e-01	1.065954e+04
3.783753e-01	1.137123e+04
3.823735e-01	1.080420e+04
3.863716e-01	9.055508e+03
3.903698e-01	7.248041e+03
3.943679e-01	5.832942e+03
3.983661e-01	4.949222e+03
4.023642e-01	4.591872e+03
4.063624e-01	4.429403e+03
4.103605e-01	4.323184e+03
4.143587e-01	4.283320e+03
4.183568e-01	4.317636e+03
4.223550e-01	4.457291e+03
4.263531e-01	4.767143e+03
4.303513e-01	5.323853e+03
4.343494e-01	6.152437e+03
4.383476e-01	7.231572e+03
4.423457e-01	8.520831e+03
4.463439e-01	1.025093e+04
4.503420e-01	1.170229e+04
4.543402e-01	1.384279e+04
4.583383e-01	1.566955e+04
4.623365e-01	1.710945e+04
4.663346e-01	1.800599e+04
4.703328e-01	1.827812e+04
4.743309e-01	1.720724e+04
4.783291e-01	1.629056e+04
4.823272e-01	1.492774e+04
4.863254e-01	1.425189e+04
4.903235e-01	1.344694e+04
4.943217e-01	1.274187e+04
4.983198e-01	1.190688e+04
5.023180e-01	1.050841e+04
5.063161e-01	9.286013e+03
5.103143e-01	7.878033e+03
5.143124e-01	6.698421e+03
5.183106e-01	5.755500e+03
5.223087e-01	5.034963e+03
5.263069e-01	4.442259e+03
5.303050e-01	4.046987e+03
5.343032e-01	3.749176e+03
5.383013e-01	3.487336e+03
5.422995e-01	3.307739e+03
5.462976e-01	3.169851e+03
5.502958e-01	3.048167e+03
5.542939e-01	2.946356e+03
5.582921e-01	2.871500e+03
5.622902e-01	2.795632e+03
5.662884e-01	2.747816e+03
5.702865e-01	2.719286e+03
5.742847e-01	2.672966e+03
5.782828e-01	2.638976e+03
5.822810e-01	2.606843e+03
5.862791e-01	2.569898e+03
5.902772e-01	2.559117e+03
5.942754e-01	2.533939e+03
5.982735e-01	2.524704e+03
6.022717e-01	2.509139e+03
6.062698e-01	2.499474e+03
6.102680e-01	2.484827e+03
6.142661e-01	2.474642e+03
6.182643e-01	2.480164e+03
6.222624e-01	2.478444e+03
6.262606e-01	2.477064e+03
6.302587e-01	2.452611e+03
6.342569e-01	2.458884e+03
6.382550e-01	2.445032e+03
6.422532e-01	2.439718e+03
6.462513e-01	2.445026e+03
6.502495e-01	2.433669e+03
6.542476e-01	2.432295e+03
6.582458e-01	2.430213e+03
6.622439e-01	2.430796e+03
6.662421e-01	2.423868e+03
6.702402e-01	2.421909e+03
6.742384e-01	2.420065e+03
6.782365e-01	2.420925e+03
6.822347e-01	2.413695e+03
6.862328e-01	2.412341e+03
6.902310e-01	2.408457e+03
6.942291e-01	2.411290e+03
6.982273e-01	2.415931e+03
