Sum vertically x	Sum vertically y
1	1.263524e+03
2	1.343143e+03
3	1.375952e+03
4	1.404381e+03
5	1.446095e+03
6	1.486952e+03
7	1.494571e+03
8	1.552905e+03
9	1.557571e+03
10	1.605476e+03
11	1.630143e+03
12	1633
13	1.667048e+03
14	1.703810e+03
15	1.725619e+03
16	1.724524e+03
17	1.742381e+03
18	1739
19	1.762333e+03
20	1.800667e+03
21	1.788190e+03
22	1.793524e+03
23	1.809381e+03
24	1.822476e+03
25	1.827286e+03
26	1.817238e+03
27	1.838571e+03
28	1.839476e+03
29	1.854810e+03
30	1.859286e+03
31	1.871333e+03
32	1.871143e+03
33	1.901476e+03
34	1898
35	1.892571e+03
36	1.909714e+03
37	1.938952e+03
38	1.924714e+03
39	1.923524e+03
40	1.900524e+03
41	1.936048e+03
42	1.953762e+03
43	1.962667e+03
44	1.976286e+03
45	1.989190e+03
46	1.983810e+03
47	2.006810e+03
48	1.992143e+03
49	2.014333e+03
50	2.027333e+03
51	2.021571e+03
52	2.054905e+03
53	2.023667e+03
54	2.047095e+03
55	2078
56	2.085048e+03
57	2.092714e+03
58	2.092381e+03
59	2.125429e+03
60	2.111476e+03
61	2.125714e+03
62	2.138238e+03
63	2.181238e+03
64	2.155429e+03
65	2.173714e+03
66	2.169333e+03
67	2.187571e+03
68	2.204857e+03
69	2.217524e+03
70	2225
71	2.256143e+03
72	2.252857e+03
73	2.261048e+03
74	2.277095e+03
75	2.268238e+03
76	2.283286e+03
77	2.324333e+03
78	2.320143e+03
79	2.320667e+03
80	2.325048e+03
81	2.349571e+03
82	2.350190e+03
83	2.379238e+03
84	2.407143e+03
85	2.385476e+03
86	2.400810e+03
87	2.427095e+03
88	2.447286e+03
89	2.471619e+03
90	2.467429e+03
91	2.474762e+03
92	2.488619e+03
93	2.505381e+03
94	2.526429e+03
95	2.550667e+03
96	2.538952e+03
97	2.569905e+03
98	2.556476e+03
99	2.590381e+03
100	2.617857e+03
101	2.607810e+03
102	2.613952e+03
