Sum horizontally x	Sum horizontally y
1	1.952171e+03
2	1973
3	1.966855e+03
4	1.969882e+03
5	1.971882e+03
6	1.991276e+03
7	1.981026e+03
8	1.990263e+03
9	1.991408e+03
10	1.997224e+03
11	2.001579e+03
12	1.993763e+03
13	2.016829e+03
14	2.017789e+03
15	2.013250e+03
16	2.020447e+03
17	2.018355e+03
18	2.027158e+03
19	2.026763e+03
20	2.033289e+03
21	2.039211e+03
22	2.040105e+03
23	2.054816e+03
24	2.043908e+03
25	2.048355e+03
26	2.069329e+03
27	2.065974e+03
28	2.076079e+03
29	2.086763e+03
30	2.080329e+03
31	2.079921e+03
32	2.088526e+03
33	2.092697e+03
34	2.099737e+03
35	2.095829e+03
36	2.112895e+03
37	2.108842e+03
38	2.119197e+03
39	2.118171e+03
40	2.119526e+03
41	2.129684e+03
42	2.131092e+03
43	2.138803e+03
44	2.150671e+03
45	2.149316e+03
46	2.162882e+03
47	2.170224e+03
48	2.166855e+03
49	2.173671e+03
50	2.174947e+03
51	2.185434e+03
52	2.176368e+03
53	2.181868e+03
54	2.195658e+03
55	2.200724e+03
56	2.211132e+03
57	2.222974e+03
58	2.212237e+03
59	2.227566e+03
60	2.229184e+03
61	2.239263e+03
62	2.262842e+03
63	2.253118e+03
64	2.256934e+03
65	2.269921e+03
66	2.282750e+03
67	2.278724e+03
68	2.291658e+03
69	2.293882e+03
70	2.289618e+03
71	2.305368e+03
72	2.310618e+03
73	2.312132e+03
74	2.327289e+03
75	2.334974e+03
76	2.340868e+03
77	2.348303e+03
78	2.359079e+03
79	2.375461e+03
80	2.390803e+03
81	2.381737e+03
82	2.395566e+03
83	2.401553e+03
84	2.427118e+03
85	2.412342e+03
86	2.435605e+03
87	2.430724e+03
88	2.451658e+03
89	2.454263e+03
90	2.453921e+03
91	2.472368e+03
92	2.483816e+03
93	2.503342e+03
94	2.499605e+03
95	2.525526e+03
96	2.537842e+03
97	2.528842e+03
98	2.531434e+03
99	2.535105e+03
100	2.589276e+03
101	2.604421e+03
102	2.582250e+03
103	2.592053e+03
104	2.613789e+03
105	2.621500e+03
106	2.634237e+03
107	2.632763e+03
108	2.646697e+03
109	2.666855e+03
110	2.669368e+03
111	2.691789e+03
112	2.699526e+03
113	2.720895e+03
114	2.736013e+03
115	2.734539e+03
116	2.767947e+03
117	2.773947e+03
118	2.780684e+03
119	2.796329e+03
120	2.813579e+03
121	2.831987e+03
122	2.848276e+03
123	2.846645e+03
124	2.865618e+03
125	2.881987e+03
126	2.893500e+03
127	2.915605e+03
128	2.917789e+03
129	2.946724e+03
130	2.952671e+03
131	2.968487e+03
132	2.994684e+03
133	3.003842e+03
134	3.022592e+03
135	3.041079e+03
136	3.043342e+03
137	3.074421e+03
138	3.091724e+03
139	3.108145e+03
140	3.121395e+03
141	3.153197e+03
142	3.167066e+03
143	3.179158e+03
144	3.206211e+03
145	3.220855e+03
146	3.248895e+03
147	3.277500e+03
148	3.299526e+03
149	3.317237e+03
150	3.353039e+03
151	3.348079e+03
152	3.410224e+03
153	3.421750e+03
154	3.453605e+03
155	3.484974e+03
156	3.503368e+03
157	3.542276e+03
158	3.582132e+03
159	3.615868e+03
160	3.641882e+03
161	3.683632e+03
162	3.732039e+03
163	3.761697e+03
164	3.814605e+03
165	3.861355e+03
166	3.919171e+03
167	3.964697e+03
168	3.993961e+03
169	4.059908e+03
170	4.096500e+03
171	4.144434e+03
172	4.200250e+03
173	4.239789e+03
174	4.296105e+03
175	4.346342e+03
176	4.378158e+03
177	4.455566e+03
178	4.482329e+03
179	4.526868e+03
180	4.577816e+03
181	4.631526e+03
182	4.660763e+03
183	4.711250e+03
184	4.756842e+03
185	4.782224e+03
186	4.839566e+03
187	4.891974e+03
188	4.916513e+03
189	4.968711e+03
190	5.004342e+03
191	5.068303e+03
192	5.105526e+03
193	5.165579e+03
194	5.264079e+03
195	5.178934e+03
196	NaN
197	NaN
198	NaN
199	NaN
200	NaN
201	NaN
202	NaN
203	NaN
204	NaN
205	NaN
206	NaN
207	NaN
208	NaN
209	NaN
210	NaN
211	NaN
212	NaN
213	6.745092e+03
214	7.091197e+03
215	7.198026e+03
216	7.335842e+03
217	7.493184e+03
218	7.615474e+03
219	7.763132e+03
220	7.891868e+03
221	8.014671e+03
222	8.097632e+03
223	8.178882e+03
224	8.225316e+03
225	8.274158e+03
226	8.311000e+03
227	8.359158e+03
228	8.358816e+03
229	8.371355e+03
230	8.360566e+03
231	8.369553e+03
232	8.356789e+03
233	8.343500e+03
234	8.310303e+03
235	8.273066e+03
236	8.247487e+03
237	8.193211e+03
238	8.169145e+03
239	8.126184e+03
240	8.038579e+03
241	7.992855e+03
242	7.920711e+03
243	7.867118e+03
244	7.771750e+03
245	7.675500e+03
246	7.616895e+03
247	7.519145e+03
248	7.421658e+03
249	7.327592e+03
250	7.234184e+03
251	7.129711e+03
252	7.029684e+03
253	6.951579e+03
254	6.853711e+03
255	6.797895e+03
256	6.722289e+03
257	6.645039e+03
258	6.581987e+03
259	6.515184e+03
260	6.466882e+03
261	6.440079e+03
262	6.400618e+03
263	6.367934e+03
264	6.307237e+03
265	6.279539e+03
266	6.257105e+03
267	6.224803e+03
268	6.217645e+03
269	6.195882e+03
270	6.181145e+03
271	6.161566e+03
272	6.147908e+03
273	6.147855e+03
274	6.116013e+03
275	6.109697e+03
276	6.090934e+03
277	6.075118e+03
278	6.077053e+03
279	6.068961e+03
280	6.036171e+03
281	6.016132e+03
282	6.018882e+03
283	6.002776e+03
284	5.983487e+03
285	5.990158e+03
286	5.985382e+03
287	5.968947e+03
288	5.970316e+03
289	5.973250e+03
290	5.942224e+03
291	5.934724e+03
292	5.947882e+03
293	5.909276e+03
294	5.927750e+03
295	5.891092e+03
296	5.905921e+03
297	5.903487e+03
298	5.868618e+03
299	5.856395e+03
300	5.859211e+03
301	5.875053e+03
302	5.844079e+03
303	5.839789e+03
304	5.829658e+03
305	5.817566e+03
306	5.832697e+03
307	5.821882e+03
308	5.866092e+03
309	5.761816e+03
310	5.768737e+03
311	5.774618e+03
312	5.874987e+03
313	5.810434e+03
314	5.817724e+03
315	5.819237e+03
316	5.809092e+03
317	5.806158e+03
318	5.819803e+03
319	5.822211e+03
320	5.811974e+03
321	5.806605e+03
322	5.808947e+03
323	5.815592e+03
324	5.814737e+03
325	5.796132e+03
326	5.804605e+03
327	5.813421e+03
328	5.811513e+03
329	5.822882e+03
330	5.824263e+03
331	5.824237e+03
332	5.811579e+03
333	5.820368e+03
334	5.794434e+03
335	5.798961e+03
336	5.813947e+03
337	5.800921e+03
338	5.798026e+03
339	5.792908e+03
340	5.807487e+03
341	5.810803e+03
342	5.801053e+03
343	5.816276e+03
344	5.793132e+03
345	5.809921e+03
346	5.799118e+03
347	5.791474e+03
348	5.769158e+03
349	5.772724e+03
350	5.771961e+03
351	5.776526e+03
352	5.732289e+03
353	5.739447e+03
354	5.742632e+03
355	5.761842e+03
356	5.739461e+03
357	5.717237e+03
358	5.719803e+03
359	5.695487e+03
360	5.706763e+03
361	5.679605e+03
362	5.665750e+03
363	5.674039e+03
364	5.651395e+03
365	5.623882e+03
366	5.642934e+03
367	5.614053e+03
368	5.595342e+03
369	5.585092e+03
370	5.553539e+03
371	5.553132e+03
372	5.544816e+03
373	5.544329e+03
374	5.516447e+03
375	5.501632e+03
376	5.483447e+03
377	5.474329e+03
378	5.450118e+03
379	5.460447e+03
380	5.435855e+03
381	5.419013e+03
382	5.398961e+03
383	5.387855e+03
384	5.385039e+03
385	5.369658e+03
386	5.351342e+03
387	5.338276e+03
388	5.318553e+03
389	5.328289e+03
390	5.320066e+03
391	5.321474e+03
392	5.300961e+03
393	5.303579e+03
394	5.292355e+03
395	5.292803e+03
396	5.268329e+03
397	5.234487e+03
398	5.250289e+03
399	5.242724e+03
400	5.238697e+03
401	5.208303e+03
402	5.205842e+03
403	5.169487e+03
404	5.176118e+03
405	5.166553e+03
406	5.134592e+03
407	4.854118e+03
408	NaN
409	NaN
410	NaN
411	NaN
412	NaN
413	NaN
414	NaN
415	NaN
416	NaN
417	NaN
418	NaN
419	NaN
420	NaN
421	NaN
422	NaN
423	NaN
424	NaN
425	4.383342e+03
426	4.642487e+03
427	4.615118e+03
428	4.585947e+03
429	4.564132e+03
430	4.538513e+03
431	4.516895e+03
432	4.489039e+03
433	4.443355e+03
434	4.421158e+03
435	4.394684e+03
436	4.371711e+03
437	4.340013e+03
438	4.308921e+03
439	4.279697e+03
440	4.248868e+03
441	4.240961e+03
442	4.227566e+03
443	4.201684e+03
444	4.159697e+03
445	4.153513e+03
446	4.131829e+03
447	4.107382e+03
448	4.083816e+03
449	4.065566e+03
450	4.045395e+03
451	4.026724e+03
452	4.003724e+03
453	4.009461e+03
454	3.977224e+03
455	3.937395e+03
456	3.943171e+03
457	3.919947e+03
458	3.915461e+03
459	3.896526e+03
460	3.873500e+03
461	3.869500e+03
462	3.856947e+03
463	3.840671e+03
464	3.821526e+03
465	3.812447e+03
466	3.801553e+03
467	3.784579e+03
468	3.758776e+03
469	3.758276e+03
470	3.742303e+03
471	3.714184e+03
472	3.694526e+03
473	3.675382e+03
474	3.677513e+03
475	3.659079e+03
476	3.635487e+03
477	3.632224e+03
478	3.604066e+03
479	3.596526e+03
480	3.569737e+03
481	3.559237e+03
482	3.550487e+03
483	3.545853e+03
484	3.512342e+03
485	3.498263e+03
486	3.481382e+03
487	3.469158e+03
488	3.455026e+03
489	3.443447e+03
490	3.412303e+03
491	3.394526e+03
492	3.383803e+03
493	3.381553e+03
494	3.351645e+03
495	3.331658e+03
496	3.326092e+03
497	3.304263e+03
498	3.282421e+03
499	3.273618e+03
500	3.256592e+03
501	3.253724e+03
502	3.237461e+03
503	3.222947e+03
504	3.206105e+03
505	3.204303e+03
506	3.190250e+03
507	3.178461e+03
508	3.168382e+03
509	3.174763e+03
510	3.153829e+03
511	3.134171e+03
512	3.129079e+03
513	3.127382e+03
514	3.103539e+03
515	3.081421e+03
516	3.064224e+03
517	3.062276e+03
518	3.050592e+03
519	3.046711e+03
520	3.038592e+03
521	3.007224e+03
522	2.997868e+03
523	2.988421e+03
524	3.006092e+03
525	2.972974e+03
526	2.960408e+03
527	2.949026e+03
528	2.937921e+03
529	2.926513e+03
530	2.926855e+03
531	2.920211e+03
532	2.912132e+03
533	2.898105e+03
534	2.899553e+03
535	2.890645e+03
536	2.883618e+03
537	2.866224e+03
538	2.867803e+03
539	2.855750e+03
540	2.840671e+03
541	2.839645e+03
542	2.842711e+03
543	2.820413e+03
544	2.830276e+03
545	2.820908e+03
546	2.815200e+03
547	2.816197e+03
548	2.804671e+03
549	2.812211e+03
550	2801
551	2.789539e+03
552	2.797184e+03
553	2.795974e+03
554	2.784105e+03
555	2780
556	2.786487e+03
557	2.781553e+03
558	2.775026e+03
559	2.786158e+03
560	2.780224e+03
561	2.787171e+03
562	2.779316e+03
563	2.779434e+03
564	2.772737e+03
565	2.791487e+03
566	2.789289e+03
567	2.788803e+03
568	2.792145e+03
569	2.802105e+03
570	2.815408e+03
571	2.826895e+03
572	2.826066e+03
573	2.827855e+03
574	2.836513e+03
575	2.850158e+03
576	2.851250e+03
577	2.861947e+03
578	2.871605e+03
579	2.862382e+03
580	2.880197e+03
581	2.894566e+03
582	2.891250e+03
583	2.893039e+03
584	2.903539e+03
585	2.914737e+03
586	2.920145e+03
587	2.925697e+03
588	2.953250e+03
589	2.951658e+03
590	2.951474e+03
591	2.991500e+03
592	2.981553e+03
593	3.003750e+03
594	3.022026e+03
595	3.042158e+03
596	3.038645e+03
597	3.062237e+03
598	3.075408e+03
599	3.091184e+03
600	3.105197e+03
601	3.116816e+03
602	3.126395e+03
603	3.135513e+03
604	3141
605	3.157434e+03
606	3.164118e+03
607	3.169289e+03
608	3.165132e+03
609	3.165737e+03
610	3.160447e+03
611	3.151737e+03
612	3.159750e+03
613	3.142697e+03
614	3.136434e+03
615	3.128763e+03
616	3.104711e+03
617	3.103342e+03
618	3.056724e+03
619	2.895171e+03
620	NaN
621	NaN
622	NaN
623	NaN
624	NaN
625	NaN
626	NaN
627	NaN
628	NaN
629	NaN
630	NaN
631	NaN
632	NaN
633	NaN
634	NaN
635	NaN
636	NaN
637	2.526145e+03
638	2.649500e+03
639	2.630658e+03
640	2.601776e+03
641	2.526711e+03
642	2.586500e+03
643	2.587355e+03
644	2.574763e+03
645	2.575697e+03
646	2.555434e+03
647	2.545934e+03
648	2.545053e+03
649	2.532289e+03
650	2.529434e+03
651	2.524645e+03
652	2.520566e+03
653	2.509632e+03
654	2.500776e+03
655	2.499645e+03
656	2.497316e+03
657	2.484013e+03
658	2.493487e+03
659	2.484842e+03
660	2.488434e+03
661	2.491237e+03
662	2.490250e+03
663	2.477342e+03
664	2.480776e+03
665	2.495105e+03
666	2.505105e+03
667	2.506776e+03
668	2.518132e+03
669	2.540697e+03
670	2.537355e+03
671	2.579776e+03
672	2.604684e+03
673	2.614197e+03
674	2.624592e+03
675	2.616842e+03
676	2.627026e+03
677	2.626395e+03
678	2.616829e+03
679	2.602566e+03
680	2.601158e+03
681	2.572487e+03
682	2.552382e+03
683	2.546197e+03
684	2.519053e+03
685	2.504447e+03
686	2491
687	2.477053e+03
688	2.458487e+03
689	2.455908e+03
690	2.440329e+03
691	2.430250e+03
692	2.432355e+03
693	2.425513e+03
694	2.422684e+03
695	2.411763e+03
696	2.412013e+03
697	2.419553e+03
698	2.411592e+03
699	2.402697e+03
700	2.400013e+03
701	2.400592e+03
702	2.400224e+03
703	2.398934e+03
704	2.400053e+03
705	2.405237e+03
706	2.408987e+03
707	2.393092e+03
708	2.390789e+03
709	2.393500e+03
710	2.396921e+03
711	2.406026e+03
712	2.399171e+03
713	2.408211e+03
714	2.402118e+03
715	2.396158e+03
716	2.396158e+03
717	2.403211e+03
718	2.398671e+03
719	2.399395e+03
720	2.407737e+03
721	2.415461e+03
722	2.398526e+03
723	2.407947e+03
724	2.414579e+03
725	2.400553e+03
726	2.406461e+03
727	2.413921e+03
728	2.423974e+03
729	2.429329e+03
730	2.423342e+03
731	2.430961e+03
732	2.452276e+03
733	2.421737e+03
734	2.424658e+03
735	2.428105e+03
736	2.448789e+03
737	2429
738	2.440895e+03
739	2.435684e+03
740	2.455816e+03
741	2.455579e+03
742	2.459813e+03
743	2.465566e+03
744	2.477658e+03
745	2.485434e+03
746	2.486684e+03
747	2.501803e+03
748	2.510487e+03
749	2.528118e+03
750	2.541618e+03
751	2.554645e+03
752	2.583513e+03
753	2.596908e+03
754	2.610105e+03
755	2.640697e+03
756	2.659671e+03
757	2.685618e+03
758	2.712487e+03
759	2.738829e+03
760	2.767013e+03
761	2.795816e+03
762	2.865434e+03
763	2.901421e+03
764	2.966987e+03
765	3.019737e+03
766	3.105092e+03
767	3.182342e+03
768	3.283526e+03
769	3.395697e+03
770	3.527934e+03
771	3.690184e+03
772	3.870579e+03
773	4.097158e+03
774	4.361276e+03
775	4.692107e+03
776	5.058079e+03
777	5.507158e+03
778	6.043303e+03
779	6.600026e+03
780	7.261263e+03
781	7.927250e+03
782	8.624079e+03
783	9.285355e+03
784	9.909947e+03
785	1.049878e+04
786	1.098030e+04
787	1.145012e+04
788	1.188474e+04
789	1.231143e+04
790	1.269592e+04
791	1.314412e+04
792	1.356372e+04
793	1.402430e+04
794	1.443655e+04
795	1.475736e+04
796	1.501767e+04
797	1.508572e+04
798	1.502193e+04
799	1.469042e+04
800	1.422921e+04
801	1.356311e+04
802	1.272109e+04
803	1.178679e+04
804	1.083262e+04
805	9.853592e+03
806	8.904658e+03
807	8.028816e+03
808	7.233447e+03
809	6.550829e+03
810	5.934105e+03
811	5.429895e+03
812	5.010618e+03
813	4.663289e+03
814	4.403658e+03
815	4.196039e+03
816	4.046039e+03
817	3.951276e+03
818	3.905513e+03
819	3.883487e+03
820	3.900750e+03
821	3.938539e+03
822	3.969382e+03
823	4.018579e+03
824	4.129947e+03
825	4.250697e+03
826	4.486184e+03
827	4.837461e+03
828	5.376882e+03
829	6.117658e+03
830	7.059671e+03
831	7.587434e+03
832	NaN
833	NaN
834	NaN
835	NaN
836	NaN
837	NaN
838	NaN
839	NaN
840	NaN
841	NaN
842	NaN
843	NaN
844	NaN
845	NaN
846	NaN
847	NaN
848	NaN
849	9.071737e+03
850	1.043343e+04
851	1.130333e+04
852	1.227245e+04
853	1.335466e+04
854	1.447579e+04
855	1.573226e+04
856	1.707809e+04
857	1.843186e+04
858	1.978408e+04
859	2.115099e+04
860	2.233480e+04
861	2.340347e+04
862	2.424082e+04
863	2.479413e+04
864	2.513432e+04
865	2.519850e+04
866	2.494955e+04
867	2.452758e+04
868	2.387572e+04
869	2.306378e+04
870	2.217424e+04
871	2.119613e+04
872	2.026707e+04
873	1.934539e+04
874	1.838825e+04
875	1.753316e+04
876	1.672803e+04
877	1.598587e+04
878	1.529425e+04
879	1.465570e+04
880	1.409325e+04
881	1.359091e+04
882	1.312814e+04
883	1.270725e+04
884	1.233920e+04
885	1.198913e+04
886	1.173286e+04
887	1.145789e+04
888	1.122855e+04
889	1.107172e+04
890	1.092047e+04
891	1.078787e+04
892	1.071082e+04
893	1.065376e+04
894	1.057087e+04
895	1.055249e+04
896	1.052516e+04
897	1.054295e+04
898	1.057995e+04
899	10628
900	1.071876e+04
901	1.081146e+04
902	1.088061e+04
903	1.102570e+04
904	1.114150e+04
905	1.131776e+04
906	1.150996e+04
907	1.166197e+04
908	1.190132e+04
909	1.210897e+04
910	1.234570e+04
911	1.264207e+04
912	1.292099e+04
913	1.321393e+04
914	1.358874e+04
915	1.386536e+04
916	1.431466e+04
917	1.127817e+04
918	6.015303e+03
919	5.645197e+03
920	5.493882e+03
921	5.394132e+03
922	5.414224e+03
923	5.383211e+03
924	5.435539e+03
925	5.292987e+03
926	5.304711e+03
927	5.340987e+03
928	5.350092e+03
929	5.385329e+03
930	5.445487e+03
931	5.459053e+03
932	5.519868e+03
933	5.561342e+03
934	5.598289e+03
935	5.626303e+03
936	5.656658e+03
937	5.707158e+03
938	5.736921e+03
939	5.780987e+03
940	5.829921e+03
941	5.855395e+03
942	5.910316e+03
943	5.920737e+03
944	5.997461e+03
945	5.999408e+03
946	6.024526e+03
947	6.048434e+03
948	6.157145e+03
949	6.166145e+03
950	6.237934e+03
951	6.283776e+03
952	6.337276e+03
953	6.421868e+03
954	6.474579e+03
955	6.533645e+03
956	6.651539e+03
957	6.733421e+03
958	6.852276e+03
959	6.991618e+03
960	7.122487e+03
961	7.305974e+03
962	7.509658e+03
963	7.747303e+03
964	8.037711e+03
965	8.466250e+03
966	9.005947e+03
967	9.728816e+03
968	9.915303e+03
969	1.019612e+04
970	1.077018e+04
971	1.154047e+04
972	1.242186e+04
973	1.355811e+04
974	1.496568e+04
975	1.686972e+04
976	2.023530e+04
977	2.763863e+04
978	3.350745e+04
979	2.433945e+04
980	2.343996e+04
981	2.468461e+04
982	2.792089e+04
983	3.121467e+04
984	3.476893e+04
985	4.173484e+04
986	4.844803e+04
987	5.700146e+04
988	6.222824e+04
989	6.154788e+04
990	3.602447e+04
991	662
992	6.051447e+02
993	5.847763e+02
994	5.826842e+02
995	5.801711e+02
996	5.750789e+02
997	5.695132e+02
998	5.629868e+02
999	5.598816e+02
1000	5.563553e+02
