q_z(A^-1);Intensity
2.170859;1963.408000
2.169019;1998.289000
2.167178;1976.711000
2.165336;1973.750000
2.163493;1989.684000
2.161649;1989.618000
2.159803;1995.342000
2.157957;1987.026000
2.156110;1998.961000
2.154262;2006.355000
2.152412;2008.684000
2.150562;2015.500000
2.148710;2008.776000
2.146858;2027.329000
2.145004;2028.421000
2.143150;2038.329000
2.141294;2027.724000
2.139437;2044.513000
2.137580;2045.184000
2.135721;2048.237000
2.133861;2065.895000
2.132000;2064.605000
2.130138;2058.987000
2.128275;2079.053000
2.126411;2075.145000
2.124546;2086.882000
2.122680;2084.868000
2.120813;2097.789000
2.118945;2104.184000
2.117075;2104.895000
2.115205;2107.500000
2.113334;2125.250000
2.111461;2123.645000
2.109588;2130.868000
2.107714;2131.263000
2.105838;2138.855000
2.103961;2144.395000
2.102084;2154.355000
2.100205;2164.342000
2.098326;2165.684000
2.096445;2172.329000
2.094563;2181.750000
2.092680;2188.395000
2.090796;2191.789000
2.088912;2189.895000
2.087026;2207.158000
2.085139;2218.039000
2.083251;2215.842000
2.081362;2229.789000
2.079472;2232.316000
2.077580;2244.474000
2.075688;2249.368000
2.073795;2261.105000
2.071901;2265.974000
2.070006;2282.592000
2.068109;2278.566000
2.066212;2296.974000
2.064313;2303.737000
2.062414;2309.684000
2.060513;2312.921000
2.058612;2320.066000
2.056709;2347.355000
2.054806;2352.211000
2.052901;2348.895000
2.050995;2361.711000
2.049089;2362.303000
2.047181;2374.382000
2.045272;2380.882000
2.043362;2391.855000
2.041451;2409.921000
2.039540;2420.553000
2.037627;2434.053000
2.035713;2429.316000
2.033798;2444.105000
2.031882;2459.500000
2.029965;2466.908000
2.028046;2468.724000
2.026127;2477.526000
2.024207;2500.697000
2.022286;2504.632000
2.020364;2528.553000
2.018440;2524.789000
2.016516;2544.566000
2.014591;2558.553000
2.012664;2565.671000
2.010737;2577.684000
2.008808;2587.908000
2.006879;2601.382000
2.004948;2616.632000
2.003017;2624.039000
2.001084;2642.145000
1.999151;2661.908000
1.997216;2668.171000
1.995280;2676.053000
1.993343;2690.013000
1.991406;2724.355000
1.989467;2712.513000
1.987527;2721.237000
1.985586;2729.789000
1.983644;2791.632000
1.981702;2779.855000
1.979758;2794.816000
1.977813;2796.500000
1.975867;2818.263000
1.973920;2813.974000
1.971972;2852.013000
1.970023;2868.724000
1.968072;2873.316000
1.966121;2888.329000
1.964169;2918.263000
1.962216;2923.553000
1.960262;2948.013000
1.958307;2964.605000
1.956350;2984.579000
1.954393;3006.368000
1.952435;3019.737000
1.950475;3034.618000
1.948515;3068.395000
1.946554;3070.382000
1.944591;3092.671000
1.942628;3121.066000
1.940664;3137.395000
1.938698;3141.697000
1.936732;3183.961000
1.934764;3210.079000
1.932796;3236.592000
1.930826;3251.329000
1.928855;3300.987000
1.926884;3321.737000
1.924911;3350.171000
1.922938;3377.579000
1.920963;3412.684000
1.918987;3440.947000
1.917011;3477.250000
1.915033;3518.066000
1.913054;3565.368000
1.911074;3593.500000
1.909094;3635.987000
1.907112;3675.197000
1.905129;3717.750000
1.903145;3778.605000
1.901160;3821.171000
1.899175;3870.013000
1.897188;3911.263000
1.895200;3944.039000
1.893211;4006.368000
1.891221;4055.882000
1.889230;4091.605000
1.887238;4138.368000
1.885245;4178.013000
1.883251;4226.592000
1.881256;4266.684000
1.879260;4321.224000
1.877263;4353.776000
1.875265;4418.013000
1.873266;4436.592000
1.871266;4489.605000
1.869265;4520.618000
1.867263;4572.776000
1.865260;4609.934000
1.863256;4658.842000
1.861251;4704.237000
1.859245;4734.434000
1.857238;4782.066000
1.855230;4829.197000
1.853221;4867.724000
1.851211;4923.711000
1.849200;4973.250000
1.847188;5047.947000
1.845174;5082.066000
1.843160;5130.447000
1.841145;5201.803000
1.839129;5255.079000
1.837112;5322.434000
1.835094;5384.158000
1.833075;5466.987000
1.831055;5554.579000
1.829033;5626.645000
1.827011;5723.632000
1.824988;5826.421000
1.822964;5938.763000
1.820939;6054.224000
1.818913;6159.908000
1.816886;6281.105000
1.814857;6410.474000
1.812828;6575.645000
1.810798;6706.868000
1.808767;6842.987000
1.806735;7002.211000
1.804702;7125.382000
1.802668;7269.026000
1.800633;7398.789000
1.798596;7515.803000
1.796559;7670.724000
1.794521;7590.434000
1.792482;nan
1.790442;nan
1.788401;nan
1.786359;nan
1.784316;nan
1.782272;nan
1.780227;nan
1.778181;nan
1.776134;nan
1.774086;nan
1.772037;nan
1.769987;nan
1.767936;nan
1.765884;nan
1.763831;nan
1.761777;nan
