Pixel;q_xy(A^-1);Intensity
1.000000;-2.041319;1263.524000
2.000000;-2.039259;1343.143000
3.000000;-2.037199;1375.952000
4.000000;-2.035137;1404.381000
5.000000;-2.033075;1446.095000
6.000000;-2.031012;1486.952000
7.000000;-2.028948;1494.571000
8.000000;-2.026884;1552.905000
9.000000;-2.024818;1557.571000
10.000000;-2.022752;1605.476000
11.000000;-2.020685;1630.143000
12.000000;-2.018617;1633.000000
13.000000;-2.016548;1667.048000
14.000000;-2.014479;1703.810000
15.000000;-2.012409;1725.619000
16.000000;-2.010337;1724.524000
17.000000;-2.008265;1742.381000
18.000000;-2.006193;1739.000000
19.000000;-2.004119;1762.333000
20.000000;-2.002045;1800.667000
21.000000;-1.999969;1788.190000
22.000000;-1.997893;1793.524000
23.000000;-1.995816;1809.381000
24.000000;-1.993739;1822.476000
25.000000;-1.991660;1827.286000
26.000000;-1.989581;1817.238000
27.000000;-1.987501;1838.571000
28.000000;-1.985420;1839.476000
29.000000;-1.983338;1854.810000
30.000000;-1.981255;1859.286000
31.000000;-1.979172;1871.333000
32.000000;-1.977088;1871.143000
33.000000;-1.975003;1901.476000
34.000000;-1.972917;1898.000000
35.000000;-1.970830;1892.571000
36.000000;-1.968743;1909.714000
37.000000;-1.966655;1938.952000
38.000000;-1.964566;1924.714000
39.000000;-1.962476;1923.524000
40.000000;-1.960385;1900.524000
41.000000;-1.958294;1936.048000
42.000000;-1.956201;1953.762000
43.000000;-1.954108;1962.667000
44.000000;-1.952014;1976.286000
45.000000;-1.949920;1989.190000
46.000000;-1.947824;1983.810000
47.000000;-1.945728;2006.810000
48.000000;-1.943631;1992.143000
49.000000;-1.941533;2014.333000
50.000000;-1.939434;2027.333000
51.000000;-1.937334;2021.571000
52.000000;-1.935234;2054.905000
53.000000;-1.933133;2023.667000
54.000000;-1.931031;2047.095000
55.000000;-1.928928;2078.000000
56.000000;-1.926825;2085.048000
57.000000;-1.924720;2092.714000
58.000000;-1.922615;2092.381000
59.000000;-1.920509;2125.429000
60.000000;-1.918402;2111.476000
61.000000;-1.916295;2125.714000
62.000000;-1.914186;2138.238000
63.000000;-1.912077;2181.238000
64.000000;-1.909967;2155.429000
65.000000;-1.907857;2173.714000
66.000000;-1.905745;2169.333000
67.000000;-1.903633;2187.571000
68.000000;-1.901519;2204.857000
69.000000;-1.899406;2217.524000
70.000000;-1.897291;2225.000000
71.000000;-1.895175;2256.143000
72.000000;-1.893059;2252.857000
73.000000;-1.890942;2261.048000
74.000000;-1.888824;2277.095000
75.000000;-1.886705;2268.238000
76.000000;-1.884585;2283.286000
77.000000;-1.882465;2324.333000
78.000000;-1.880344;2320.143000
79.000000;-1.878222;2320.667000
80.000000;-1.876099;2325.048000
81.000000;-1.873976;2349.571000
82.000000;-1.871852;2350.190000
83.000000;-1.869727;2379.238000
84.000000;-1.867601;2407.143000
85.000000;-1.865474;2385.476000
86.000000;-1.863347;2400.810000
87.000000;-1.861218;2427.095000
88.000000;-1.859089;2447.286000
89.000000;-1.856959;2471.619000
90.000000;-1.854829;2467.429000
91.000000;-1.852697;2474.762000
92.000000;-1.850565;2488.619000
93.000000;-1.848432;2505.381000
94.000000;-1.846298;2526.429000
95.000000;-1.844164;2550.667000
96.000000;-1.842029;2538.952000
97.000000;-1.839892;2569.905000
98.000000;-1.837756;2556.476000
99.000000;-1.835618;2590.381000
100.000000;-1.833479;2617.857000
101.000000;-1.831340;2607.810000
102.000000;-1.829200;2613.952000
103.000000;-1.827059;2647.190000
104.000000;-1.824918;2647.667000
105.000000;-1.822775;2703.429000
106.000000;-1.820632;2708.095000
107.000000;-1.818488;2724.048000
108.000000;-1.816343;2755.667000
109.000000;-1.814198;2744.190000
110.000000;-1.812052;2754.524000
111.000000;-1.809905;2774.524000
112.000000;-1.807757;2804.190000
113.000000;-1.805608;2815.095000
114.000000;-1.803459;2834.524000
115.000000;-1.801309;2849.238000
116.000000;-1.799158;2875.810000
117.000000;-1.797006;2908.190000
118.000000;-1.794853;2896.000000
119.000000;-1.792700;2940.238000
120.000000;-1.790546;2941.476000
121.000000;-1.788391;2948.286000
122.000000;-1.786236;2959.571000
123.000000;-1.784079;2973.095000
124.000000;-1.781922;3046.667000
125.000000;-1.779764;3033.571000
126.000000;-1.777605;3052.429000
127.000000;-1.775446;3073.381000
128.000000;-1.773286;3088.857000
129.000000;-1.771125;3094.524000
130.000000;-1.768963;3117.952000
131.000000;-1.766800;3165.857000
132.000000;-1.764637;3166.667000
133.000000;-1.762473;3162.762000
134.000000;-1.760308;3214.286000
135.000000;-1.758143;3250.190000
136.000000;-1.755976;3244.048000
137.000000;-1.753809;3262.190000
138.000000;-1.751641;3286.476000
139.000000;-1.749472;3295.095000
140.000000;-1.747303;3345.524000
141.000000;-1.745133;3347.619000
142.000000;-1.742962;3367.048000
143.000000;-1.740790;3376.476000
144.000000;-1.738618;3393.095000
145.000000;-1.736444;3422.095000
146.000000;-1.734270;3456.714000
147.000000;-1.732096;3472.810000
148.000000;-1.729920;3519.762000
149.000000;-1.727744;3543.524000
150.000000;-1.725567;3561.143000
151.000000;-1.723389;3569.905000
152.000000;-1.721210;3609.095000
153.000000;-1.719031;3643.333000
154.000000;-1.716851;3638.762000
155.000000;-1.714670;3662.810000
156.000000;-1.712488;3702.238000
157.000000;-1.710306;3700.714000
158.000000;-1.708123;3767.810000
159.000000;-1.705939;3756.619000
160.000000;-1.703754;3807.476000
161.000000;-1.701569;3845.952000
162.000000;-1.699383;3868.381000
163.000000;-1.697196;3880.619000
164.000000;-1.695008;3905.286000
165.000000;-1.692820;3940.000000
166.000000;-1.690631;3954.381000
167.000000;-1.688441;3980.381000
168.000000;-1.686250;4015.381000
169.000000;-1.684059;4028.143000
170.000000;-1.681867;4042.857000
171.000000;-1.679674;4091.762000
172.000000;-1.677480;4106.762000
173.000000;-1.675286;4103.000000
174.000000;-1.673091;4152.476000
175.000000;-1.670895;4165.381000
176.000000;-1.668699;4189.571000
177.000000;-1.666501;4211.000000
178.000000;-1.664303;4244.429000
179.000000;-1.662104;4275.857000
180.000000;-1.659905;4316.333000
181.000000;-1.657704;4364.571000
182.000000;-1.655503;4319.000000
183.000000;-1.653302;4342.476000
184.000000;-1.651099;4365.762000
185.000000;-1.648896;4433.381000
186.000000;-1.646692;4437.619000
187.000000;-1.644487;4474.190000
188.000000;-1.642282;4469.905000
189.000000;-1.640075;4489.857000
190.000000;-1.637868;4526.429000
191.000000;-1.635661;4566.619000
192.000000;-1.633452;4574.905000
193.000000;-1.631243;4613.905000
194.000000;-1.629033;4644.762000
195.000000;-1.626822;4675.095000
196.000000;-1.624611;4682.238000
197.000000;-1.622399;4720.714000
198.000000;-1.620186;4721.571000
199.000000;-1.617973;4780.381000
200.000000;-1.615758;4774.762000
201.000000;-1.613543;4828.381000
202.000000;-1.611328;4844.429000
203.000000;-1.609111;4872.524000
204.000000;-1.606894;4879.571000
205.000000;-1.604676;4895.333000
206.000000;-1.602457;4917.333000
207.000000;-1.600238;4928.238000
208.000000;-1.598018;4946.524000
209.000000;-1.595797;4981.667000
210.000000;-1.593575;5041.048000
211.000000;-1.591353;5015.095000
212.000000;-1.589130;5059.619000
213.000000;-1.586906;5069.048000
214.000000;-1.584682;5094.476000
215.000000;-1.582457;5118.333000
216.000000;-1.580231;5118.143000
217.000000;-1.578004;5161.667000
218.000000;-1.575777;5162.476000
219.000000;-1.573549;5183.905000
220.000000;-1.571320;5230.476000
221.000000;-1.569091;5213.095000
222.000000;-1.566861;5201.905000
223.000000;-1.564630;5229.048000
224.000000;-1.562398;5224.714000
225.000000;-1.560166;5259.286000
226.000000;-1.557933;5285.571000
227.000000;-1.555699;5290.048000
228.000000;-1.553464;5299.667000
229.000000;-1.551229;5327.667000
230.000000;-1.548993;5353.952000
231.000000;-1.546757;5375.952000
232.000000;-1.544519;5411.524000
233.000000;-1.542281;5465.905000
234.000000;-1.540043;5486.333000
235.000000;-1.537803;5550.333000
236.000000;-1.535563;5564.810000
237.000000;-1.533322;5587.429000
238.000000;-1.531081;5605.714000
239.000000;-1.528838;5671.286000
240.000000;-1.526595;5674.238000
241.000000;-1.524352;5698.286000
242.000000;-1.522107;5753.000000
243.000000;-1.519862;5682.524000
244.000000;-1.517616;5680.857000
245.000000;-1.515370;5678.524000
246.000000;-1.513123;5806.905000
247.000000;-1.510875;5756.524000
248.000000;-1.508626;5741.571000
249.000000;-1.506377;5754.905000
250.000000;-1.504127;5780.143000
251.000000;-1.501876;5753.905000
252.000000;-1.499625;5811.143000
253.000000;-1.497373;5820.667000
254.000000;-1.495120;5834.667000
255.000000;-1.492867;5819.810000
256.000000;-1.490613;5847.238000
257.000000;-1.488358;5806.857000
258.000000;-1.486102;5782.905000
259.000000;-1.483846;5774.810000
260.000000;-1.481589;5712.190000
261.000000;-1.479331;5729.857000
262.000000;-1.477073;5715.857000
263.000000;-1.474814;5700.810000
264.000000;-1.472555;5678.381000
265.000000;-1.470294;5663.286000
266.000000;-1.468033;5658.429000
267.000000;-1.465771;5682.524000
268.000000;-1.463509;5636.333000
269.000000;-1.461246;5676.238000
270.000000;-1.458982;5651.905000
271.000000;-1.456718;5648.762000
272.000000;-1.454453;5616.286000
273.000000;-1.452187;5618.667000
274.000000;-1.449920;5622.429000
275.000000;-1.447653;5606.381000
276.000000;-1.445385;5613.952000
277.000000;-1.443117;5601.143000
278.000000;-1.440848;5563.476000
279.000000;-1.438578;5564.381000
280.000000;-1.436307;5552.571000
281.000000;-1.434036;5574.286000
282.000000;-1.431764;5524.524000
283.000000;-1.429491;5516.952000
284.000000;-1.427218;5483.810000
285.000000;-1.424944;5478.571000
286.000000;-1.422670;5493.714000
287.000000;-1.420394;5471.905000
288.000000;-1.418118;5471.238000
289.000000;-1.415842;5411.810000
290.000000;-1.413565;5427.762000
291.000000;-1.411287;5423.619000
292.000000;-1.409008;5397.381000
293.000000;-1.406729;5393.524000
294.000000;-1.404449;5368.286000
295.000000;-1.402168;5347.000000
296.000000;-1.399887;5344.238000
297.000000;-1.397605;5300.571000
298.000000;-1.395322;5352.095000
299.000000;-1.393039;5287.571000
300.000000;-1.390755;5282.095000
301.000000;-1.388471;5266.810000
302.000000;-1.386185;5267.000000
303.000000;-1.383900;5280.190000
304.000000;-1.381613;5212.381000
305.000000;-1.379326;5199.000000
306.000000;-1.377038;5187.238000
307.000000;-1.374749;5225.714000
308.000000;-1.372460;5175.810000
309.000000;-1.370171;5195.857000
310.000000;-1.367880;5151.905000
311.000000;-1.365589;5136.857000
312.000000;-1.363297;5144.095000
313.000000;-1.361005;5095.905000
314.000000;-1.358712;5065.190000
315.000000;-1.356418;5048.190000
316.000000;-1.354124;5014.333000
317.000000;-1.351829;4988.810000
318.000000;-1.349533;4950.190000
319.000000;-1.347237;4942.905000
320.000000;-1.344940;4954.286000
321.000000;-1.342642;4882.000000
322.000000;-1.340344;4881.714000
323.000000;-1.338045;4855.571000
324.000000;-1.335745;4822.190000
325.000000;-1.333445;4785.333000
326.000000;-1.331145;4816.333000
327.000000;-1.328843;4737.571000
328.000000;-1.326541;4751.571000
329.000000;-1.324238;4721.429000
330.000000;-1.321935;4700.190000
331.000000;-1.319631;4671.667000
332.000000;-1.317326;4648.905000
333.000000;-1.315021;4612.381000
334.000000;-1.312715;4614.714000
335.000000;-1.310409;4582.667000
336.000000;-1.308102;4576.857000
337.000000;-1.305794;4542.238000
338.000000;-1.303485;4540.238000
339.000000;-1.301176;4493.905000
340.000000;-1.298867;4463.619000
341.000000;-1.296556;4434.571000
342.000000;-1.294246;4439.048000
343.000000;-1.291934;4392.857000
344.000000;-1.289622;4381.000000
345.000000;-1.287309;4344.095000
346.000000;-1.284996;4363.476000
347.000000;-1.282682;4317.143000
348.000000;-1.280367;4314.762000
349.000000;-1.278052;4246.524000
350.000000;-1.275736;4246.762000
351.000000;-1.273419;4233.667000
352.000000;-1.271102;4180.429000
353.000000;-1.268785;4144.190000
354.000000;-1.266466;4099.143000
355.000000;-1.264147;4107.762000
356.000000;-1.261828;4096.476000
357.000000;-1.259507;4071.810000
358.000000;-1.257187;4050.524000
359.000000;-1.254865;4025.476000
360.000000;-1.252543;4003.048000
361.000000;-1.250221;3970.762000
362.000000;-1.247897;3952.429000
363.000000;-1.245573;3960.286000
364.000000;-1.243249;3957.429000
365.000000;-1.240924;3898.286000
366.000000;-1.238598;3885.857000
367.000000;-1.236272;3877.143000
368.000000;-1.233945;3894.524000
369.000000;-1.231618;3858.429000
370.000000;-1.229289;3847.286000
371.000000;-1.226961;3816.238000
372.000000;-1.224631;3855.905000
373.000000;-1.222302;3846.905000
374.000000;-1.219971;3833.476000
375.000000;-1.217640;3859.429000
376.000000;-1.215308;3847.238000
377.000000;-1.212976;3806.000000
378.000000;-1.210643;3814.619000
379.000000;-1.208310;3813.381000
380.000000;-1.205976;3781.524000
381.000000;-1.203641;3797.952000
