Pixel;q_z(A^-1);Intensity
1.000000;2.213058;1963.408000
2.000000;2.211242;1998.289000
3.000000;2.209425;1976.711000
4.000000;2.207608;1973.750000
5.000000;2.205789;1989.684000
6.000000;2.203969;1989.618000
7.000000;2.202148;1995.342000
8.000000;2.200326;1987.026000
9.000000;2.198503;1998.961000
10.000000;2.196679;2006.355000
11.000000;2.194853;2008.684000
12.000000;2.193027;2015.500000
13.000000;2.191200;2008.776000
14.000000;2.189371;2027.329000
15.000000;2.187542;2028.421000
16.000000;2.185712;2038.329000
17.000000;2.183880;2027.724000
18.000000;2.182048;2044.513000
19.000000;2.180214;2045.184000
20.000000;2.178380;2048.237000
21.000000;2.176544;2065.895000
22.000000;2.174707;2064.605000
23.000000;2.172869;2058.987000
24.000000;2.171031;2079.053000
25.000000;2.169191;2075.145000
26.000000;2.167350;2086.882000
27.000000;2.165508;2084.868000
28.000000;2.163665;2097.789000
29.000000;2.161821;2104.184000
30.000000;2.159976;2104.895000
31.000000;2.158130;2107.500000
32.000000;2.156282;2125.250000
33.000000;2.154434;2123.645000
34.000000;2.152585;2130.868000
35.000000;2.150735;2131.263000
36.000000;2.148883;2138.855000
37.000000;2.147031;2144.395000
38.000000;2.145177;2154.355000
39.000000;2.143323;2164.342000
40.000000;2.141467;2165.684000
41.000000;2.139611;2172.329000
42.000000;2.137753;2181.750000
43.000000;2.135894;2188.395000
44.000000;2.134035;2191.789000
45.000000;2.132174;2189.895000
46.000000;2.130312;2207.158000
47.000000;2.128449;2218.039000
48.000000;2.126585;2215.842000
49.000000;2.124720;2229.789000
50.000000;2.122854;2232.316000
51.000000;2.120987;2244.474000
52.000000;2.119119;2249.368000
53.000000;2.117250;2261.105000
54.000000;2.115380;2265.974000
55.000000;2.113509;2282.592000
56.000000;2.111636;2278.566000
57.000000;2.109763;2296.974000
58.000000;2.107889;2303.737000
59.000000;2.106013;2309.684000
60.000000;2.104137;2312.921000
61.000000;2.102259;2320.066000
62.000000;2.100381;2347.355000
63.000000;2.098501;2352.211000
64.000000;2.096621;2348.895000
65.000000;2.094739;2361.711000
66.000000;2.092856;2362.303000
67.000000;2.090972;2374.382000
68.000000;2.089088;2380.882000
69.000000;2.087202;2391.855000
70.000000;2.085315;2409.921000
71.000000;2.083427;2420.553000
72.000000;2.081538;2434.053000
73.000000;2.079648;2429.316000
74.000000;2.077757;2444.105000
75.000000;2.075865;2459.500000
76.000000;2.073972;2466.908000
77.000000;2.072078;2468.724000
78.000000;2.070183;2477.526000
79.000000;2.068286;2500.697000
80.000000;2.066389;2504.632000
81.000000;2.064491;2528.553000
82.000000;2.062591;2524.789000
83.000000;2.060691;2544.566000
84.000000;2.058790;2558.553000
85.000000;2.056887;2565.671000
86.000000;2.054984;2577.684000
87.000000;2.053079;2587.908000
