Pixel;q_z(A^-1);Intensity
1.000000;2.170859;1963.408000
2.000000;2.169019;1998.289000
3.000000;2.167178;1976.711000
4.000000;2.165336;1973.750000
5.000000;2.163493;1989.684000
6.000000;2.161649;1989.618000
7.000000;2.159803;1995.342000
8.000000;2.157957;1987.026000
9.000000;2.156110;1998.961000
10.000000;2.154262;2006.355000
11.000000;2.152412;2008.684000
12.000000;2.150562;2015.500000
13.000000;2.148710;2008.776000
14.000000;2.146858;2027.329000
15.000000;2.145004;2028.421000
16.000000;2.143150;2038.329000
17.000000;2.141294;2027.724000
18.000000;2.139437;2044.513000
19.000000;2.137580;2045.184000
20.000000;2.135721;2048.237000
21.000000;2.133861;2065.895000
22.000000;2.132000;2064.605000
23.000000;2.130138;2058.987000
24.000000;2.128275;2079.053000
25.000000;2.126411;2075.145000
26.000000;2.124546;2086.882000
27.000000;2.122680;2084.868000
28.000000;2.120813;2097.789000
29.000000;2.118945;2104.184000
30.000000;2.117075;2104.895000
31.000000;2.115205;2107.500000
32.000000;2.113334;2125.250000
33.000000;2.111461;2123.645000
34.000000;2.109588;2130.868000
35.000000;2.107714;2131.263000
36.000000;2.105838;2138.855000
37.000000;2.103961;2144.395000
38.000000;2.102084;2154.355000
39.000000;2.100205;2164.342000
40.000000;2.098326;2165.684000
41.000000;2.096445;2172.329000
42.000000;2.094563;2181.750000
43.000000;2.092680;2188.395000
44.000000;2.090796;2191.789000
45.000000;2.088912;2189.895000
46.000000;2.087026;2207.158000
47.000000;2.085139;2218.039000
48.000000;2.083251;2215.842000
49.000000;2.081362;2229.789000
50.000000;2.079472;2232.316000
51.000000;2.077580;2244.474000
52.000000;2.075688;2249.368000
53.000000;2.073795;2261.105000
54.000000;2.071901;2265.974000
55.000000;2.070006;2282.592000
56.000000;2.068109;2278.566000
57.000000;2.066212;2296.974000
58.000000;2.064313;2303.737000
59.000000;2.062414;2309.684000
60.000000;2.060513;2312.921000
61.000000;2.058612;2320.066000
62.000000;2.056709;2347.355000
63.000000;2.054806;2352.211000
64.000000;2.052901;2348.895000
65.000000;2.050995;2361.711000
66.000000;2.049089;2362.303000
67.000000;2.047181;2374.382000
68.000000;2.045272;2380.882000
69.000000;2.043362;2391.855000
70.000000;2.041451;2409.921000
71.000000;2.039540;2420.553000
72.000000;2.037627;2434.053000
73.000000;2.035713;2429.316000
74.000000;2.033798;2444.105000
75.000000;2.031882;2459.500000
76.000000;2.029965;2466.908000
77.000000;2.028046;2468.724000
78.000000;2.026127;2477.526000
79.000000;2.024207;2500.697000
80.000000;2.022286;2504.632000
81.000000;2.020364;2528.553000
82.000000;2.018440;2524.789000
83.000000;2.016516;2544.566000
84.000000;2.014591;2558.553000
85.000000;2.012664;2565.671000
86.000000;2.010737;2577.684000
87.000000;2.008808;2587.908000
88.000000;2.006879;2601.382000
