Sum horizontally x	Sum horizontally y
1	1.963408e+03
2	1.998289e+03
3	1.976711e+03
4	1.973750e+03
5	1.989684e+03
6	1.989618e+03
7	1.995342e+03
8	1.987026e+03
9	1.998961e+03
10	2.006355e+03
11	2.008684e+03
12	2.015500e+03
13	2.008776e+03
14	2.027329e+03
15	2.028421e+03
16	2.038329e+03
17	2.027724e+03
18	2.044513e+03
19	2.045184e+03
20	2.048237e+03
21	2.065895e+03
22	2.064605e+03
23	2.058987e+03
24	2.079053e+03
25	2.075145e+03
26	2.086882e+03
27	2.084868e+03
28	2.097789e+03
29	2.104184e+03
30	2.104895e+03
31	2.107500e+03
32	2.125250e+03
33	2.123645e+03
34	2.130868e+03
35	2.131263e+03
36	2.138855e+03
37	2.144395e+03
38	2.154355e+03
39	2.164342e+03
40	2.165684e+03
41	2.172329e+03
42	2.181750e+03
43	2.188395e+03
44	2.191789e+03
45	2.189895e+03
46	2.207158e+03
47	2.218039e+03
48	2.215842e+03
49	2.229789e+03
50	2.232316e+03
51	2.244474e+03
52	2.249368e+03
53	2.261105e+03
54	2.265974e+03
55	2.282592e+03
56	2.278566e+03
57	2.296974e+03
58	2.303737e+03
59	2.309684e+03
60	2.312921e+03
61	2.320066e+03
62	2.347355e+03
63	2.352211e+03
64	2.348895e+03
65	2.361711e+03
66	2.362303e+03
67	2.374382e+03
68	2.380882e+03
69	2.391855e+03
70	2.409921e+03
71	2.420553e+03
72	2.434053e+03
73	2.429316e+03
74	2.444105e+03
75	2.459500e+03
76	2.466908e+03
77	2.468724e+03
78	2.477526e+03
79	2.500697e+03
80	2.504632e+03
81	2.528553e+03
82	2.524789e+03
83	2.544566e+03
84	2.558553e+03
85	2.565671e+03
86	2.577684e+03
87	2.587908e+03
88	2.601382e+03
89	2.616632e+03
90	2.624039e+03
91	2.642145e+03
92	2.661908e+03
93	2.668171e+03
94	2.676053e+03
95	2.690013e+03
96	2.724355e+03
97	2.712513e+03
98	2.721237e+03
99	2.729789e+03
100	2.791632e+03
101	2.779855e+03
102	2.794816e+03
103	2.796500e+03
104	2.818263e+03
105	2.813974e+03
106	2.852013e+03
107	2.868724e+03
108	2.873316e+03
109	2.888329e+03
110	2.918263e+03
111	2.923553e+03
112	2.948013e+03
113	2.964605e+03
114	2.984579e+03
115	3.006368e+03
116	3.019737e+03
117	3.034618e+03
118	3.068395e+03
119	3.070382e+03
120	3.092671e+03
121	3.121066e+03
122	3.137395e+03
123	3.141697e+03
124	3.183961e+03
125	3.210079e+03
126	3.236592e+03
127	3.251329e+03
128	3.300987e+03
129	3.321737e+03
130	3.350171e+03
131	3.377579e+03
132	3.412684e+03
133	3.440947e+03
134	3.477250e+03
135	3.518066e+03
136	3.565368e+03
137	3.593500e+03
138	3.635987e+03
139	3.675197e+03
140	3.717750e+03
141	3.778605e+03
142	3.821171e+03
143	3.870013e+03
144	3.911263e+03
145	3.944039e+03
146	4.006368e+03
147	4.055882e+03
148	4.091605e+03
149	4.138368e+03
150	4.178013e+03
151	4.226592e+03
152	4.266684e+03
153	4.321224e+03
154	4.353776e+03
155	4.418013e+03
156	4.436592e+03
157	4.489605e+03
158	4.520618e+03
159	4.572776e+03
160	4.609934e+03
161	4.658842e+03
162	4.704237e+03
163	4.734434e+03
164	4.782066e+03
165	4.829197e+03
166	4.867724e+03
167	4.923711e+03
168	4.973250e+03
169	5.047947e+03
170	5.082066e+03
171	5.130447e+03
172	5.201803e+03
173	5.255079e+03
174	5.322434e+03
175	5.384158e+03
176	5.466987e+03
177	5.554579e+03
178	5.626645e+03
179	5.723632e+03
180	5.826421e+03
181	5.938763e+03
182	6.054224e+03
183	6.159908e+03
184	6.281105e+03
185	6.410474e+03
186	6.575645e+03
187	6.706868e+03
188	6.842987e+03
189	7.002211e+03
190	7.125382e+03
191	7.269026e+03
192	7.398789e+03
