#twotheta(deg)	#qz(nm-1)	#bckg_refl_up	#bckg_refl_down	#bckg_refl_left	#bckg_refl_right	#bckg_refl	#err_refl	#refl
1.8419567e-01	1.3031811e-01	4.0818457e-02	1.1083126e-01	3.9399046e-05	3.2774427e-05	7.5824858e-02	7.0403972e-04	5.6252920e-01
2.3026365e-01	1.6291109e-01	3.5679488e-02	1.2262329e-01	4.3155874e-05	2.8481140e-05	7.9151390e-02	7.2829754e-04	6.1936299e-01
2.7625537e-01	1.9545008e-01	3.5007570e-02	1.2133896e-01	4.8010163e-05	3.0559815e-05	7.8173265e-02	7.4344013e-04	6.6256903e-01
3.2224708e-01	2.2798903e-01	3.2483806e-02	1.1568757e-01	5.1651603e-05	3.6408719e-05	7.4085689e-02	7.5153889e-04	6.9790666e-01
3.6823880e-01	2.6052796e-01	3.1143947e-02	1.0205260e-01	5.3052423e-05	3.7310638e-05	6.6598272e-02	7.4795080e-04	7.1886085e-01
4.1278135e-01	2.9204156e-01	2.7059118e-02	8.8761474e-02	4.9817739e-05	3.4342071e-05	5.7910296e-02	7.2293425e-04	6.9077034e-01
4.6022222e-01	3.2560567e-01	1.8800368e-02	1.1914870e-02	1.5858378e-05	1.2982957e-05	1.5357619e-02	3.7952641e-04	1.8881908e-01
5.0445969e-01	3.5690333e-01	2.4256849e-03	2.5048874e-03	3.8295707e-06	2.4369995e-06	2.4652861e-03	1.4764342e-04	2.7866567e-02
5.5220565e-01	3.9068317e-01	6.8813246e-04	5.2091131e-04	1.3935096e-06	1.3935096e-06	6.0452188e-04	7.0641233e-05	6.2050369e-03
5.9812109e-01	4.2316787e-01	1.6809928e-04	2.0154494e-04	5.2258843e-07	8.7098071e-07	1.8482211e-04	3.9169784e-05	1.9104962e-03
6.4426535e-01	4.5581438e-01	7.1685582e-05	1.9342898e-04	5.2325242e-07	6.9766990e-07	1.3255728e-04	3.6009256e-05	1.7461805e-03
6.9025706e-01	4.8835290e-01	7.3996635e-05	2.6008026e-04	7.8626885e-07	5.2417923e-07	1.6703845e-04	4.2102228e-05	2.4685347e-03
7.3617250e-01	5.2083738e-01	1.0092195e-04	3.1637331e-04	6.9781815e-07	8.7227269e-07	2.0864763e-04	4.8015457e-05	3.2475585e-03
7.8224049e-01	5.5342969e-01	1.2502386e-04	2.9939465e-04	9.5903936e-07	5.2311238e-07	2.1220926e-04	5.1181482e-05	3.7916929e-03
8.2830848e-01	5.8602192e-01	1.3790542e-04	3.3674377e-04	3.4868628e-07	2.6151471e-07	2.3732460e-04	5.3154234e-05	4.0484656e-03
8.7422392e-01	6.1850613e-01	1.3692087e-04	3.2752936e-04	6.1008663e-07	8.7155232e-07	2.3222512e-04	5.3140088e-05	4.0710645e-03
9.2013936e-01	6.5099024e-01	1.4595914e-04	2.8449810e-04	9.6025749e-07	3.4918454e-07	2.1522862e-04	5.2116253e-05	3.9334329e-03
9.6620734e-01	6.8358217e-01	1.3646666e-04	2.5244152e-04	4.3599572e-07	8.7199144e-08	1.9445409e-04	5.0124409e-05	3.6652416e-03
1.0121991e+00	7.1612003e-01	1.2385752e-04	2.1047911e-04	1.7481654e-07	4.3704134e-07	1.6716831e-04	4.7149771e-05	3.2553899e-03
1.0581908e+00	7.4865777e-01	1.0884380e-04	1.9021416e-04	8.7495016e-08	3.4998006e-07	1.4952898e-04	4.4183391e-05	2.8413131e-03
1.1042588e+00	7.8124935e-01	9.0670456e-05	1.5803817e-04	2.6281292e-07	7.8843875e-07	1.2435431e-04	4.0784053e-05	2.4336038e-03
1.1502505e+00	8.1378684e-01	8.5593292e-05	1.1112265e-04	6.1200515e-07	8.7429307e-08	9.8357971e-05	3.6757705e-05	1.9899785e-03
1.1962422e+00	8.4632421e-01	6.2824208e-05	9.4804263e-05	0.0000000e+00	2.6213160e-07	7.8814235e-05	3.2812021e-05	1.5866826e-03
1.2404034e+00	8.7756642e-01	4.5423640e-05	7.8419232e-05	8.7521464e-08	1.7504293e-07	6.1921436e-05	2.9045358e-05	1.2419733e-03
1.2882256e+00	9.1139852e-01	3.4649449e-05	5.8421602e-05	8.7720123e-08	8.7720123e-08	4.6535525e-05	2.5032725e-05	9.1654371e-04
1.3342173e+00	9.4393546e-01	2.7919251e-05	3.6146241e-05	0.0000000e+00	8.7521164e-08	3.2032746e-05	2.1384318e-05	6.7968936e-04
1.3802090e+00	9.7647225e-01	1.7677566e-05	2.8266603e-05	8.7512704e-08	0.0000000e+00	2.2972085e-05	1.7899537e-05	4.7427510e-04
1.4262008e+00	1.0090089e+00	1.3850416e-05	1.4721512e-05	8.7109536e-08	8.7109536e-08	1.4285964e-05	1.4434828e-05	3.1307167e-04
1.4721925e+00	1.0415453e+00	7.4160008e-06	1.1167625e-05	8.7247068e-08	8.7247068e-08	9.2918128e-06	1.1236282e-05	1.8614162e-04
1.5182605e+00	1.0741356e+00	5.1464945e-06	5.5826381e-06	0.0000000e+00	0.0000000e+00	5.3645663e-06	8.7038277e-06	1.1265589e-04
1.5642522e+00	1.1066717e+00	2.4401372e-06	2.1786940e-06	0.0000000e+00	0.0000000e+00	2.3094156e-06	5.8588372e-06	5.1809342e-05
1.6101676e+00	1.1391537e+00	3.4917198e-07	1.3093949e-06	0.0000000e+00	0.0000000e+00	8.2928345e-07	3.7805323e-06	2.2739825e-05
1.6561593e+00	1.1716895e+00	6.9672520e-07	2.6127195e-07	0.0000000e+00	0.0000000e+00	4.7899857e-07	1.9398862e-06	4.6593498e-06
1.7022273e+00	1.2042790e+00	0.0000000e+00	2.6249541e-07	0.0000000e+00	8.7498471e-08	1.3124771e-07	7.5639765e-07	6.5623853e-07
1.7482190e+00	1.2368144e+00	8.7267047e-08	2.6180114e-07	0.0000000e+00	0.0000000e+00	1.7453409e-07	1.5311791e-06	3.4906819e-06
1.7941345e+00	1.2692956e+00	1.7452765e-07	9.5990206e-07	8.7263823e-08	0.0000000e+00	5.6721485e-07	2.4987536e-06	8.9445419e-06
1.8401262e+00	1.3018306e+00	6.9861887e-07	1.1352557e-06	8.7327359e-08	0.0000000e+00	9.1693727e-07	3.4034881e-06	1.6723189e-05
1.8861942e+00	1.3344193e+00	1.0468875e-06	1.2213687e-06	0.0000000e+00	0.0000000e+00	1.1341281e-06	3.9903138e-06	2.3642209e-05
1.9322621e+00	1.3670078e+00	5.2592678e-07	1.4024714e-06	0.0000000e+00	0.0000000e+00	9.6419910e-07	4.2620499e-06	2.9101282e-05
1.9782539e+00	1.3995422e+00	8.7410047e-07	1.5733808e-06	8.7410047e-08	0.0000000e+00	1.2237407e-06	4.6229746e-06	3.3565458e-05
2.0243218e+00	1.4321302e+00	1.2250769e-06	1.7501098e-06	0.0000000e+00	8.7505490e-08	1.4875933e-06	4.7120589e-06	3.3427097e-05
2.0703136e+00	1.4646641e+00	7.8550585e-07	8.7278428e-07	8.7278428e-08	0.0000000e+00	8.2914507e-07	4.3502273e-06	3.1376595e-05
