#qz(nm-1)	#refl	#err_refl	#twotheta(deg)	#m4pitch(deg)	#pos_y_beam(pix)	#bckg_refl_up	#bckg_refl_down	#bckg_refl_left	#bckg_refl_right	#bckg_refl
1.7517052e-01	9.7557344e-01	7.4306903e-04	1.9807319e-01	-4.9518297e-02	5.4000000e+01	8.7002173e-03	1.8312311e-02	1.5044509e-05	3.6825366e-05	1.3506264e-02
1.8474857e-01	9.8650951e-01	7.2372611e-04	2.0890353e-01	-5.2225882e-02	5.4000000e+01	6.3555027e-03	2.0482423e-02	1.5477955e-05	3.4984419e-05	1.3418963e-02
1.9651877e-01	9.5800256e-01	6.9338978e-04	2.2221264e-01	-5.5553161e-02	5.5000000e+01	1.4280347e-02	2.0381178e-02	1.5558444e-05	3.4190161e-05	1.7330762e-02
2.0670388e-01	9.0714504e-01	6.5820544e-04	2.3372941e-01	-5.8432354e-02	5.5000000e+01	6.1141510e-03	3.2636418e-02	1.7802739e-05	3.6513782e-05	1.9375284e-02
2.1618074e-01	7.9122820e-01	5.8496862e-04	2.4444535e-01	-6.1111337e-02	5.5000000e+01	6.2703774e-03	1.5511721e-02	1.4616665e-05	3.2328624e-05	1.0891049e-02
2.2602858e-01	3.3548684e-01	3.8666612e-04	2.5558077e-01	-6.3895193e-02	5.5000000e+01	6.6195788e-03	1.1073737e-02	7.5962644e-06	1.7778491e-05	8.8466580e-03
2.3607878e-01	1.6474377e-01	2.7596860e-04	2.6694500e-01	-6.6736250e-02	5.6000000e+01	1.0554298e-02	4.5766279e-03	5.4769830e-06	9.7368587e-06	7.5654631e-03
2.4545446e-01	1.1737502e-01	2.2215237e-04	2.7754653e-01	-6.9386633e-02	5.6000000e+01	6.6302087e-03	2.6524832e-03	3.9968533e-06	6.9944934e-06	4.6413460e-03
2.5509994e-01	8.5504236e-02	1.8224578e-04	2.8845314e-01	-7.2113285e-02	5.6000000e+01	4.1603511e-03	1.9820699e-03	2.4107884e-06	6.1609037e-06	3.0712105e-03
2.6541993e-01	5.8907292e-02	1.4984998e-04	3.0012245e-01	-7.5030612e-02	5.6000000e+01	2.2765222e-03	2.5519234e-03	3.9525169e-06	3.8250164e-06	2.4142228e-03
2.6548739e-01	5.8232934e-02	1.4831069e-04	3.0019872e-01	-7.5049680e-02	5.6000000e+01	2.0963728e-03	2.5009951e-03	1.7821969e-06	4.9010415e-06	2.2986840e-03
2.8437364e-01	3.5974176e-02	1.1129282e-04	3.2155432e-01	-8.0388580e-02	5.6000000e+01	1.0353517e-03	1.7819632e-03	2.0973869e-06	3.4373840e-06	1.4086575e-03
3.0319242e-01	2.4650708e-02	8.6362468e-05	3.4283365e-01	-8.5708412e-02	5.6000000e+01	5.1805332e-04	1.3324188e-03	1.5049130e-06	2.4908904e-06	9.2523607e-04
3.2261826e-01	1.6098580e-02	6.7858164e-05	3.6479941e-01	-9.1199852e-02	5.7000000e+01	6.3359340e-04	6.8236080e-04	1.8186078e-06	1.8664659e-06	6.5797710e-04
3.4130213e-01	1.2105579e-02	5.8866180e-05	3.8592620e-01	-9.6481550e-02	5.7000000e+01	4.4927050e-04	7.0283993e-04	1.3490210e-06	1.3955389e-06	5.7605522e-04
3.6059304e-01	8.7080997e-03	4.9086412e-05	4.0773942e-01	-1.0193485e-01	5.7000000e+01	2.4566541e-04	5.4483351e-04	1.0034606e-06	1.5051909e-06	3.9524946e-04
3.7941178e-01	6.8503136e-03	4.3924677e-05	4.2901875e-01	-1.0725469e-01	5.7000000e+01	1.6350030e-04	5.6151115e-04	1.2688493e-06	6.7974072e-07	3.6250572e-04
3.9870266e-01	5.2477344e-03	3.8441086e-05	4.5083197e-01	-1.1270799e-01	5.7000000e+01	1.0435470e-04	4.8242075e-04	9.0155252e-07	1.0818630e-06	2.9338773e-04
4.1731903e-01	4.4565948e-03	3.6072705e-05	4.7188249e-01	-1.1797062e-01	5.7000000e+01	7.5644191e-05	5.4224420e-04	8.0999133e-07	1.3049860e-06	3.0894419e-04
4.3553067e-01	4.4190552e-03	3.4030134e-05	4.9247539e-01	-1.2311885e-01	5.7000000e+01	7.8879870e-05	2.5256901e-04	7.2201254e-07	8.1226410e-07	1.6572444e-04
4.5509132e-01	3.3993905e-03	3.0574229e-05	5.1459369e-01	-1.2864842e-01	5.7000000e+01	4.7096328e-05	3.1716013e-04	9.8678020e-07	7.6251197e-07	1.8212823e-04
4.7411234e-01	2.9292433e-03	2.7779922e-05	5.3610183e-01	-1.3402546e-01	5.7000000e+01	3.9944431e-05	2.0849918e-04	3.5824601e-07	6.2693052e-07	1.2422181e-04
4.9266119e-01	2.6883964e-03	2.5360013e-05	5.5707608e-01	-1.3926902e-01	5.7000000e+01	3.4846211e-05	7.9224548e-05	5.3955424e-07	8.9925707e-07	5.7035379e-05
5.1174963e-01	2.2727407e-03	2.3160452e-05	5.7866049e-01	-1.4466512e-01	5.7000000e+01	2.6563657e-05	6.2505361e-05	4.9358146e-07	7.6280770e-07	4.4534509e-05
5.3104040e-01	1.9293472e-03	2.1408688e-05	6.0047371e-01	-1.5011843e-01	5.7000000e+01	1.8839091e-05	6.3424939e-05	4.0369480e-07	4.9340476e-07	4.1132015e-05
5.3110785e-01	1.9294111e-03	2.1429700e-05	6.0054998e-01	-1.5013750e-01	5.8000000e+01	4.2489849e-05	3.5632310e-05	3.5856412e-07	5.8266670e-07	3.9061079e-05
5.7427594e-01	1.3897553e-03	1.8120018e-05	6.4936278e-01	-1.6234070e-01	5.8000000e+01	2.3273630e-05	2.8405533e-05	1.3505008e-07	5.4020031e-07	2.5839581e-05
6.1636472e-01	1.0499266e-03	1.5752972e-05	6.9695526e-01	-1.7423881e-01	5.8000000e+01	2.0085592e-05	1.6404748e-05	3.6354013e-07	1.8177007e-07	1.8245170e-05
