# Dataset "New Data" exported from GenX3 on Thu Nov 28 10:09:20 2024
# Column lables:
# x                I_simulated        I                  error(I)
1.751705200000e-02 9.945032171634e-01 9.755734400000e-01 7.430690300000e-04
1.847485700000e-02 9.934987423822e-01 9.865095100000e-01 7.237261100000e-04
1.965187700000e-02 9.915156460445e-01 9.580025600000e-01 6.933897800000e-04
2.067038800000e-02 9.878210264176e-01 9.071450400000e-01 6.582054400000e-04
2.161807400000e-02 9.676736074518e-01 7.912282000000e-01 5.849686200000e-04
2.260285800000e-02 3.343450146213e-01 3.354868400000e-01 3.866661200000e-04
2.360787800000e-02 1.962595511512e-01 1.647437700000e-01 2.759686000000e-04
2.454544600000e-02 1.357972833047e-01 1.173750200000e-01 2.221523700000e-04
2.550999400000e-02 9.914653204829e-02 8.550423600000e-02 1.822457800000e-04
2.654199300000e-02 7.411122442029e-02 5.890729200000e-02 1.498499800000e-04
2.654873900000e-02 7.397922161992e-02 5.823293400000e-02 1.483106900000e-04
2.843736400000e-02 4.701981048697e-02 3.597417600000e-02 1.112928200000e-04
3.031924200000e-02 3.203092750111e-02 2.465070800000e-02 8.636246800000e-05
3.226182600000e-02 2.262378283607e-02 1.609858000000e-02 6.785816400000e-05
3.413021300000e-02 1.676144622062e-02 1.210557900000e-02 5.886618000000e-05
3.605930400000e-02 1.264234827538e-02 8.708099700000e-03 4.908641200000e-05
3.794117800000e-02 9.814024186738e-03 6.850313600000e-03 4.392467700000e-05
3.987026600000e-02 7.712266730867e-03 5.247734400000e-03 3.844108600000e-05
4.173190300000e-02 6.205046634370e-03 4.456594800000e-03 3.607270500000e-05
4.355306700000e-02 5.078594971336e-03 4.419055200000e-03 3.403013400000e-05
4.550913200000e-02 4.144510329711e-03 3.399390500000e-03 3.057422900000e-05
4.741123400000e-02 3.436917729105e-03 2.929243300000e-03 2.777992200000e-05
4.926611900000e-02 2.888731019359e-03 2.688396400000e-03 2.536001300000e-05
5.117496300000e-02 2.435478412689e-03 2.272740700000e-03 2.316045200000e-05
5.310404000000e-02 2.065199018410e-03 1.929347200000e-03 2.140868800000e-05
5.311078500000e-02 2.064034266098e-03 1.929411100000e-03 2.142970000000e-05
5.742759400000e-02 1.461894700704e-03 1.389755300000e-03 1.812001800000e-05
6.163647200000e-02 1.073279385962e-03 1.049926600000e-03 1.575297200000e-05
6.590267200000e-02 8.028885297257e-04 7.856029400000e-04 9.515208400000e-06
7.022282000000e-02 6.105082521550e-04 5.920506300000e-04 8.340146900000e-06
7.449911400000e-02 4.735196755708e-04 4.690174300000e-04 7.442829600000e-06
7.864724000000e-02 3.753338945968e-04 3.725498500000e-04 4.837441600000e-06
8.295048600000e-02 2.987630434681e-04 2.943612700000e-04 4.287571400000e-06
8.730767600000e-02 2.399613011309e-04 2.399139900000e-04 3.885792800000e-06
9.155018800000e-02 1.958366079482e-04 1.941465600000e-04 2.517339600000e-06
9.576570400000e-02 1.614707859167e-04 1.614765200000e-04 2.388609500000e-06
1.000688900000e-01 1.337075402189e-04 1.338543900000e-04 1.535584400000e-06
1.042978600000e-01 1.119045798767e-04 1.116022900000e-04 1.444629600000e-06
1.086212400000e-01 9.393190010171e-05 9.404113800000e-05 1.323633700000e-06
1.128299400000e-01 7.969980533753e-05 7.933894300000e-05 8.841836600000e-07
1.170858300000e-01 6.788129905572e-05 6.805475300000e-05 8.346530800000e-07
1.214361300000e-01 5.792118159812e-05 5.791431900000e-05 7.619422700000e-07
1.257257000000e-01 4.977632629744e-05 4.982391200000e-05 7.163740300000e-07
1.299208300000e-01 4.310764848269e-05 4.322250700000e-05 4.894170800000e-07
1.341901200000e-01 3.739105196779e-05 3.731950300000e-05 4.635504400000e-07
1.384830000000e-01 3.253330582865e-05 3.273136400000e-05 4.316113100000e-07
1.428264300000e-01 2.836485637752e-05 2.838151600000e-05 4.063045300000e-07
1.469978600000e-01 2.494637569858e-05 2.496809400000e-05 4.055191500000e-07
1.512468200000e-01 2.195488714650e-05 2.230252300000e-05 2.821073600000e-07
1.555834300000e-01 1.932901542673e-05 1.936196500000e-05 2.867036800000e-07
1.598660600000e-01 1.709164425069e-05 1.700901800000e-05 2.189586200000e-07
