# File exported from GenX's Reflectivity plugin
# File created: Thu Nov 28 10:09:43 2024
# Simulated SLD for data set: New Data
# SLD unit: rₑ/Å⁻³
# Coumns: 
# z [Å]             Re                  Im                 
-1.571710382247e+01 3.349868291006e-01  -6.816036558797e-04
-1.521710382247e+01 3.349867086768e-01  -6.816034108512e-04
-1.471710382247e+01 3.349864490040e-01  -6.816028824905e-04
-1.421710382247e+01 3.349859030265e-01  -6.816017715803e-04
-1.371710382247e+01 3.349847836976e-01  -6.815994940619e-04
-1.321710382247e+01 3.349825461349e-01  -6.815949412532e-04
-1.271710382247e+01 3.349781847206e-01  -6.815860670061e-04
-1.221710382247e+01 3.349698954924e-01  -6.815692007661e-04
-1.171710382247e+01 3.349545339249e-01  -6.815379443116e-04
-1.121710382247e+01 3.349267757003e-01  -6.814814641586e-04
-1.071710382247e+01 3.348778673984e-01  -6.813819495674e-04
-1.021710382247e+01 3.347938424484e-01  -6.812109825080e-04
-9.717103822472e+00 3.346530858535e-01  -6.809245825622e-04
-9.217103822472e+00 3.344231725603e-01  -6.804567738975e-04
-8.717103822472e+00 3.340569928465e-01  -6.797117015248e-04
-8.217103822472e+00 3.334883240811e-01  -6.785546210791e-04
-7.717103822472e+00 3.326272125794e-01  -6.768025021997e-04
-7.217103822472e+00 3.313557770308e-01  -6.742154896878e-04
-6.717103822472e+00 3.295253000269e-01  -6.704909855895e-04
-6.217103822472e+00 3.269556783151e-01  -6.652625306151e-04
-5.717103822472e+00 3.234383807023e-01  -6.581058226391e-04
-5.217103822472e+00 3.187439377269e-01  -6.485539560689e-04
-4.717103822472e+00 3.126346010113e-01  -6.361231800543e-04
-4.217103822472e+00 3.048821485012e-01  -6.203491271247e-04
-3.717103822472e+00 2.952899260973e-01  -6.008316616887e-04
-3.217103822472e+00 2.837172326302e-01  -5.772844965756e-04
-2.717103822472e+00 2.701032636734e-01  -5.495839119380e-04
-2.217103822472e+00 2.544872504693e-01  -5.178097322823e-04
-1.717103822472e+00 2.370213615980e-01  -4.822715777230e-04
-1.217103822472e+00 2.179734951384e-01  -4.435145452438e-04
-7.171038224722e-01 1.977182684567e-01  -4.023008754587e-04
-2.171038224722e-01 1.767161546869e-01  -3.595675012386e-04
2.828961775278e-01  1.554825349024e-01  -3.163630776154e-04
7.828961775278e-01  1.345500783868e-01  -2.737714362490e-04
1.282896177528e+00  1.144289890398e-01  -2.328306980832e-04
1.782896177528e+00  9.557002164349e-02  -1.944580218858e-04
2.282896177528e+00  7.833469754670e-02  -1.593890015718e-04
2.782896177528e+00  6.297593880972e-02  -1.281382621532e-04
3.282896177528e+00  4.963065252421e-02  -1.009843709229e-04
3.782896177528e+00  3.832398099787e-02  -7.797848538148e-05
4.282896177528e+00  2.898333848763e-02  -5.897291402711e-05
4.782896177528e+00  2.145925146972e-02  -4.366352042399e-05
5.282896177528e+00  1.554954460755e-02  -3.163893482089e-05
5.782896177528e+00  1.102355944891e-02  -2.242983236493e-05
6.282896177528e+00  7.643725585188e-03  -1.555282432266e-05
6.782896177528e+00  5.182719969796e-03  -1.054537245031e-05
7.282896177528e+00  3.435430490094e-03  -6.990131486230e-06
7.782896177528e+00  2.225801726416e-03  -4.528878338476e-06
8.282896177528e+00  1.409267651331e-03  -2.867461941232e-06
8.782896177528e+00  8.718258244414e-04  -1.773919502522e-06
9.282896177528e+00  5.269017321986e-04  -1.072096320683e-06
9.782896177528e+00  3.110525093759e-04  -6.329040700805e-07
1.028289617753e+01  1.793444612664e-04  -3.649153633567e-07
1.078289617753e+01  1.009818364434e-04  -2.054695376593e-07
1.128289617753e+01  5.552068383373e-05  -1.129689223293e-07
1.178289617753e+01  2.980449026342e-05  -6.064372614206e-08
1.228289617753e+01  1.562019794469e-05  -3.178269442189e-08
1.278289617753e+01  7.991623847063e-06  -1.626069910031e-08
1.328289617753e+01  3.991128781468e-06  -8.120820677754e-09
1.378289617753e+01  1.945538053016e-06  -3.958620860256e-09
1.428289617753e+01  9.256362638264e-07  -1.883408560070e-09
1.478289617753e+01  4.298065824477e-07  -8.745350935261e-10
1.528289617753e+01  1.947668911691e-07  -3.962956556281e-10
