#qz(nm-1)	#refl	#err_refl	#twotheta(deg)	#m4pitch(deg)	#pos_y_beam(pix)	#bckg_refl_up	#bckg_refl_down	#bckg_refl_left	#bckg_refl_right	#bckg_refl
1.7463092e-01	9.5575604e-01	6.9734498e-04	1.9746303e-01	-4.9365757e-02	5.4000000e+01	5.0046303e-03	1.1729576e-02	2.0333694e-05	3.7702057e-05	8.3671031e-03
1.8515328e-01	9.7631107e-01	6.6261147e-04	2.0936115e-01	-5.2340287e-02	5.5000000e+01	4.5636723e-03	6.6582318e-03	1.5082685e-05	4.0800596e-05	5.6109521e-03
1.9655250e-01	9.6058910e-01	6.3618253e-04	2.2225078e-01	-5.5562695e-02	5.5000000e+01	2.5629004e-03	1.1110630e-02	1.4365027e-05	3.5553442e-05	6.8367654e-03
2.0673760e-01	9.3854988e-01	6.2326652e-04	2.3376755e-01	-5.8441887e-02	5.6000000e+01	1.0166690e-02	7.7343844e-03	1.5502158e-05	3.5263151e-05	8.9505372e-03
2.1618074e-01	8.3708029e-01	5.7051504e-04	2.4444535e-01	-6.1111337e-02	5.6000000e+01	1.0987741e-02	3.4440109e-03	1.5116718e-05	3.1046163e-05	7.2158759e-03
2.2609604e-01	3.2826393e-01	3.6221990e-04	2.5565704e-01	-6.3914260e-02	5.6000000e+01	8.5882622e-03	3.4381286e-03	7.2126425e-06	2.0256783e-05	6.0131954e-03
2.3607878e-01	1.8186266e-01	2.6497680e-04	2.6694500e-01	-6.6736250e-02	5.6000000e+01	4.2190738e-03	3.5580221e-03	4.9052288e-06	1.1541715e-05	3.8885480e-03
2.4545446e-01	1.2991767e-01	2.1481648e-04	2.7754653e-01	-6.9386633e-02	5.6000000e+01	2.7771284e-03	1.8447863e-03	2.4531733e-06	6.9506576e-06	2.3109574e-03
2.5513367e-01	9.5774491e-02	1.7916445e-04	2.8849127e-01	-7.2122819e-02	5.6000000e+01	1.8219044e-03	1.4163612e-03	3.4927165e-06	6.7267133e-06	1.6191328e-03
2.6541993e-01	6.8308762e-02	1.4937374e-04	3.0012245e-01	-7.5030612e-02	5.6000000e+01	1.1507526e-03	1.5741753e-03	3.2068133e-06	5.0568979e-06	1.3624640e-03
2.6548739e-01	6.7925204e-02	1.4958288e-04	3.0019872e-01	-7.5049680e-02	5.6000000e+01	1.1788556e-03	1.6372341e-03	2.7218159e-06	4.9487561e-06	1.4080448e-03
2.8440736e-01	4.3120729e-02	1.1247163e-04	3.2159245e-01	-8.0398114e-02	5.6000000e+01	6.4538996e-04	1.3441634e-03	2.0678599e-06	3.3194593e-06	9.9477665e-04
3.0322615e-01	2.9471219e-02	8.9788755e-05	3.4287178e-01	-8.5717946e-02	5.7000000e+01	9.1964923e-04	7.4110748e-04	1.1755836e-06	2.9389589e-06	8.3037835e-04
3.2265199e-01	2.0146255e-02	7.2880579e-05	3.6483754e-01	-9.1209386e-02	5.7000000e+01	4.4911007e-04	7.1835022e-04	1.6471605e-06	1.9295309e-06	5.8373015e-04
3.4130213e-01	1.5684883e-02	6.3907976e-05	3.8592620e-01	-9.6481550e-02	5.7000000e+01	3.4464934e-04	6.6707799e-04	1.3259261e-06	2.0117499e-06	5.0586367e-04
3.6059304e-01	1.1547838e-02	5.4487547e-05	4.0773942e-01	-1.0193485e-01	5.7000000e+01	2.1094445e-04	6.1669942e-04	7.5767075e-07	1.5599104e-06	4.1382193e-04
3.7941178e-01	9.4140563e-03	4.9409616e-05	4.2901875e-01	-1.0725469e-01	5.7000000e+01	1.5588827e-04	6.3163977e-04	1.0108346e-06	1.1866319e-06	3.9376402e-04
3.9870266e-01	7.4116100e-03	4.4169800e-05	4.5083197e-01	-1.1270799e-01	5.7000000e+01	1.0443212e-04	6.2776854e-04	3.0484771e-07	1.1322915e-06	3.6610033e-04
4.1725158e-01	6.8382457e-03	4.0576480e-05	4.7180622e-01	-1.1795155e-01	5.7000000e+01	8.6367064e-05	3.1449584e-04	7.8081726e-07	1.0844684e-06	2.0043145e-04
