#twotheta(deg)	#qz(nm-1)	#m4pitch(deg)	#pos_y_beam(pix)	#bckg_refl_up	#bckg_refl_down	#bckg_refl_left	#bckg_refl_right	#bckg_refl	#err_refl	#refl
1.9511368e-01	1.7258105e-01	-7.9778420e-02	1.3000000e+02	4.6835589e-03	3.9173761e-03	1.3959135e-05	8.5873724e-06	4.3004675e-03	1.5343801e-04	1.0089961e+00
2.1181681e-01	1.8735521e-01	-8.3954202e-02	1.2900000e+02	1.0602639e-02	1.6320912e-03	1.3351650e-05	8.2095483e-06	6.1173651e-03	1.5186396e-04	9.7645894e-01
2.2562168e-01	1.9956582e-01	-8.7405420e-02	1.2900000e+02	7.1061381e-03	2.0835368e-03	1.3140982e-05	8.1146304e-06	4.5948375e-03	1.5073643e-04	9.7424698e-01
2.3996044e-01	2.1224865e-01	-9.0990110e-02	1.2900000e+02	6.5306056e-03	2.0187700e-03	1.2558514e-05	7.7524673e-06	4.2746878e-03	1.4758354e-04	9.3570076e-01
2.5474989e-01	2.2533012e-01	-9.4687472e-02	1.2800000e+02	1.3499083e-03	4.1883141e-03	4.6835248e-06	3.2879572e-06	2.7691112e-03	8.5518806e-05	2.9646406e-01
2.6909558e-01	2.3801908e-01	-9.8273895e-02	1.2800000e+02	9.4066496e-04	1.7922502e-03	3.0124484e-06	2.0356396e-06	1.3664576e-03	6.3518674e-05	1.6434054e-01
2.8365622e-01	2.5089815e-01	-1.0191405e-01	1.2800000e+02	7.8316819e-04	9.2756088e-04	2.4237465e-06	1.5034308e-06	8.5536454e-04	5.0785903e-05	1.0512444e-01
2.9789097e-01	2.6348898e-01	-1.0547274e-01	1.2800000e+02	5.3287283e-04	6.2903994e-04	1.8671414e-06	1.2603205e-06	5.8095639e-04	4.2574533e-05	7.3943594e-02
3.1218813e-01	2.7613500e-01	-1.0904703e-01	1.2800000e+02	3.9040865e-04	4.2344320e-04	1.6327378e-06	1.0239519e-06	4.0692592e-04	3.6351838e-05	5.4280726e-02
3.2751840e-01	2.8969481e-01	-1.1287960e-01	1.2800000e+02	6.9921030e-04	2.3372045e-04	1.4819756e-06	8.9329678e-07	4.6646538e-04	3.1430945e-05	3.8877537e-02
3.4162835e-01	3.0217523e-01	-1.1640709e-01	1.2800000e+02	4.2591050e-04	1.7673069e-04	1.3016493e-06	7.8547803e-07	3.0132059e-04	2.7660089e-05	3.0633183e-02
3.5619592e-01	3.1506042e-01	-1.2004898e-01	1.2800000e+02	3.9983932e-04	1.2959426e-04	1.1973698e-06	7.4905661e-07	2.6471679e-04	2.4652892e-05	2.4162905e-02
3.5627912e-01	3.1513401e-01	-1.2006978e-01	1.2800000e+02	4.2141934e-04	1.2903904e-04	1.1576323e-06	7.0749396e-07	2.7522919e-04	2.4667357e-05	2.4051352e-02
5.2656923e-01	4.6575718e-01	-1.6264231e-01	1.2700000e+02	6.0685669e-05	2.3079213e-05	5.7323153e-07	2.8376859e-07	4.1882441e-05	9.6689374e-06	3.6325991e-03
6.9568062e-01	6.1533674e-01	-2.0492016e-01	1.2700000e+02	1.1375028e-05	8.2973063e-06	3.1452580e-07	1.5726290e-07	9.8361672e-06	5.3193114e-06	1.1046879e-03
8.6537444e-01	7.6543011e-01	-2.4734361e-01	1.2700000e+02	6.5292929e-06	3.5476524e-06	1.7028731e-07	7.0630534e-08	5.0384727e-06	1.9445063e-06	4.3032201e-04
1.0341391e+00	9.1470002e-01	-2.8953479e-01	1.2700000e+02	2.0634280e-06	1.7401593e-06	1.1099462e-07	4.4579650e-08	1.9017936e-06	3.2100786e-07	2.0399061e-04
1.2012953e+00	1.0625452e+00	-3.3132381e-01	1.2800000e+02	1.3625010e-06	1.1084530e-06	7.4490532e-08	3.0615786e-08	1.2354770e-06	2.3999150e-07	1.0728907e-04
1.3706285e+00	1.2123137e+00	-3.7365713e-01	1.2800000e+02	8.2506115e-07	8.2150414e-07	5.8825962e-08	2.3505423e-08	8.2328264e-07	1.8712153e-07	6.0639530e-05
